type,count
dbo:Agent,51097
dbo:Person,35713
dbo:Athlete,17973
dbo:Organisation,15199
dbo:Place,13560
dbo:PopulatedPlace,9711
dbo:Settlement,7548
dbo:SoccerPlayer,7331
dbo:Work,4883
dbo:Company,4370
dbo:SportsTeam,3358
dbo:Artist,3156
dbo:SoccerClub,3001
dbo:SoccerManager,2500
dbo:SportsManager,2500
dbo:EducationalInstitution,1931
dbo:MusicalArtist,1887
dbo:OfficeHolder,1848
dbo:ArchitecturalStructure,1723
dbo:City,1477
dbo:SportFacility,1370
dbo:University,1343
dbo:Stadium,1325
dbo:GridironFootballPlayer,1214
dbo:WrittenWork,1161
dbo:BaseballPlayer,1129
dbo:Band,1053
dbo:Politician,1026
dbo:RugbyPlayer,1004
dbo:MusicalWork,1001
dbo:AmericanFootballPlayer,1001
dbo:Cricketer,942
dbo:Broadcaster,939
dbo:Building,912
dbo:FictionalCharacter,896
dbo:Film,876
dbo:IceHockeyPlayer,865
dbo:TelevisionShow,858
dbo:PeriodicalLiterature,851
dbo:BasketballPlayer,757
dbo:Infrastructure,743
dbo:TennisPlayer,719
dbo:AdministrativeRegion,687
dbo:Region,687
dbo:Country,644
dbo:Event,637
dbo:SportsLeague,607
dbo:Species,601
dbo:Town,598
dbo:Eukaryote,594
dbo:Newspaper,587
dbo:GolfPlayer,574
dbo:School,551
dbo:Software,549
dbo:Writer,533
dbo:MeanOfTransportation,526
dbo:Album,514
dbo:CollegeCoach,500
dbo:TelevisionStation,489
dbo:Boxer,462
dbo:NaturalPlace,440
dbo:Single,429
dbo:Animal,415
dbo:GovernmentAgency,413
dbo:Genre,410
dbo:MusicGenre,410
dbo:TopicalConcept,410
dbo:RouteOfTransportation,367
dbo:PoliticalParty,359
dbo:RacingDriver,353
dbo:MilitaryUnit,351
dbo:EthnicGroup,343
dbo:Scientist,332
dbo:BodyOfWater,330
dbo:BritishRoyalty,312
dbo:Royalty,312
dbo:Language,312
dbo:VideoGame,306
dbo:Cyclist,298
dbo:MilitaryPerson,287
dbo:SportsEvent,279
dbo:SoccerLeague,275
dbo:Stream,270
dbo:River,263
dbo:MemberOfParliament,260
dbo:Airport,259
dbo:Automobile,257
dbo:SoapCharacter,257
dbo:RadioStation,250
dbo:Mammal,242
dbo:MilitaryConflict,242
dbo:Magazine,240
dbo:AustralianRulesFootballPlayer,232
dbo:Book,228
dbo:RecordLabel,212
dbo:Road,211
dbo:Cleric,189
dbo:ComicsCharacter,189
dbo:President,185
dbo:Village,180
dbo:Comedian,178
dbo:Device,176
dbo:Wrestler,172
dbo:Airline,170
dbo:Award,166
dbo:Plant,159
dbo:Non-ProfitOrganisation,159
dbo:Food,155
dbo:Museum,153
dbo:BroadcastNetwork,152
dbo:Swimmer,152
dbo:RaceHorse,151
dbo:Website,135
dbo:NascarDriver,130
dbo:Legislature,128
dbo:FigureSkater,127
dbo:Island,125
dbo:RugbyClub,125
dbo:FormulaOneRacer,124
dbo:Ship,123
dbo:Skier,110
dbo:Saint,109
dbo:Aircraft,107
dbo:MartialArtist,106
dbo:Station,103
dbo:Activity,102
dbo:Disease,99
dbo:Venue,98
dbo:HockeyTeam,95
dbo:Hospital,94
dbo:Philosopher,94
dbo:Governor,91
dbo:PrimeMinister,91
dbo:Monarch,87
dbo:InformationAppliance,87
dbo:Sport,87
dbo:ChemicalSubstance,86
dbo:SportsTeamSeason,84
dbo:Criminal,83
dbo:FootballMatch,81
dbo:TradeUnion,81
dbo:ChristianBishop,78
dbo:FootballLeagueSeason,78
dbo:MotorcycleRider,76
dbo:GaelicGamesPlayer,75
dbo:ChemicalCompound,73
dbo:Beverage,73
dbo:Weapon,70
dbo:Bird,69
dbo:ProtectedArea,67
dbo:Holiday,66
dbo:Biomolecule,65
dbo:Currency,64
dbo:TimePeriod,64
dbo:Year,64
dbo:Hotel,63
dbo:ComicsCreator,62
dbo:Protein,62
dbo:Park,62
dbo:ShoppingMall,61
dbo:SnookerPlayer,60
dbo:Olympics,59
dbo:WorldHeritageSite,58
dbo:Drug,58
dbo:PublicTransitSystem,58
dbo:Mountain,57
dbo:Lake,57
dbo:HistoricPlace,56
dbo:Musical,56
dbo:Model,54
dbo:Publisher,54
dbo:Jockey,51
dbo:AnatomicalStructure,51
dbo:FashionDesigner,50
dbo:Gymnast,50
dbo:Song,50
dbo:BasketballLeague,50
dbo:Congressman,49
dbo:TelevisionEpisode,49
dbo:Theatre,49
dbo:Curler,48
dbo:RailwayLine,48
dbo:Senator,47
dbo:BaseballLeague,47
dbo:NationalCollegiateAthleticAssociationAthlete,46
dbo:RaceTrack,45
dbo:Racecourse,45
dbo:Judge,44
dbo:Race,44
dbo:ChessPlayer,43
dbo:Comics,43
dbo:Bridge,42
dbo:MilitaryStructure,42
dbo:Architect,42
dbo:DartsPlayer,41
dbo:ProgrammingLanguage,40
dbo:MusicFestival,39
dbo:Actor,39
dbo:Presenter,39
dbo:IceHockeyLeague,38
dbo:RadioProgram,37
dbo:Chef,35
dbo:Play,35
dbo:BasketballTeam,34
dbo:RadioHost,32
dbo:CelestialBody,31
dbo:LunarCrater,31
dbo:SquashPlayer,31
dbo:Fish,30
dbo:Economist,30
dbo:LawFirm,29
dbo:Skater,29
dbo:WomensTennisAssociationTournament,29
dbo:Colour,27
dbo:TennisTournament,27
dbo:Astronaut,26
dbo:FilmFestival,25
dbo:BadmintonPlayer,25
dbo:HistoricBuilding,24
dbo:Election,24
dbo:Noble,24
dbo:Insect,24
dbo:AcademicJournal,24
dbo:Convention,23
dbo:Mayor,23
dbo:Planet,23
dbo:SkiArea,23
dbo:HorseTrainer,22
dbo:GivenName,22
dbo:Name,22
dbo:RugbyLeague,22
dbo:VolleyballPlayer,22
dbo:CyclingTeam,21
dbo:Engineer,21
dbo:FloweringPlant,21
dbo:OrganisationMember,20
dbo:SportsTeamMember,20
dbo:ReligiousBuilding,20
dbo:BeautyQueen,20
dbo:AmateurBoxer,20
dbo:LacrossePlayer,18
dbo:NetballPlayer,18
dbo:NationalFootballLeagueSeason,17
dbo:OlympicEvent,17
dbo:PokerPlayer,16
dbo:Murderer,16
dbo:Artwork,16
dbo:TableTennisPlayer,16
dbo:Game,15
dbo:Volcano,15
dbo:SpeedwayRider,15
dbo:SnookerChamp,15
dbo:Grape,14
dbo:MixedMartialArtsEvent,14
dbo:Manga,14
dbo:Train,14
dbo:AdultActor,14
dbo:Mineral,13
dbo:PowerStation,13
dbo:BeachVolleyballPlayer,13
dbo:GrandPrix,12
dbo:Religious,12
dbo:Continent,11
dbo:College,11
dbo:Library,11
dbo:AnimangaCharacter,11
dbo:Restaurant,11
dbo:AmericanFootballLeague,11
dbo:CanadianFootballTeam,10
dbo:Case,10
dbo:LegalCase,10
dbo:SupremeCourtOfTheUnitedStatesCase,10
dbo:UnitOfWork,10
dbo:Ambassador,10
dbo:GolfLeague,9
dbo:Locomotive,9
dbo:OlympicResult,9
dbo:SportCompetitionResult,9
dbo:Rocket,9
dbo:Conifer,8
dbo:EurovisionSongContestEntry,8
dbo:Medician,8
dbo:WrestlingEvent,8
dbo:Cartoon,8
dbo:Reptile,8
dbo:Monument,7
dbo:Canal,7
dbo:MotorsportSeason,7
dbo:MountainRange,6
dbo:TelevisionSeason,6
dbo:Star,6
dbo:Anime,6
dbo:VolleyballLeague,6
dbo:Prison,5
dbo:CultivatedVariety,5
dbo:FieldHockeyLeague,5
dbo:NCAATeamSeason,5
dbo:LacrosseLeague,5
dbo:SpaceMission,5
dbo:SpaceStation,5
dbo:Tunnel,5
dbo:Crustacean,4
dbo:Mollusca,4
dbo:MotorcycleRacingLeague,4
dbo:AutomobileEngine,4
dbo:Sales,4
dbo:Castle,4
dbo:SumoWrestler,4
dbo:Arachnid,4
dbo:RailwayStation,4
dbo:ComedyGroup,3
dbo:Brain,3
dbo:RoadJunction,3
dbo:Chancellor,3
dbo:ClericalAdministrativeRegion,3
dbo:Diocese,3
dbo:Enzyme,3
dbo:AmericanFootballTeam,3
dbo:WineRegion,3
dbo:RoadTunnel,3
dbo:VideogamesLeague,3
dbo:TennisLeague,3
dbo:TelevisionHost,3
dbo:Fern,2
dbo:CricketLeague,2
dbo:Cardinal,2
dbo:Embryology,2
dbo:CanadianFootballLeague,2
dbo:Muscle,2
dbo:PlayboyPlaymate,2
dbo:Fungus,2
dbo:Lighthouse,2
dbo:Ligament,2
dbo:Galaxy,2
dbo:HollywoodCartoon,2
dbo:SiteOfSpecialScientificInterest,2
dbo:SpaceShuttle,2
dbo:AutoRacingLeague,2
dbo:Vein,2
dbo:RailwayTunnel,2
dbo:Bacteria,2
dbo:MixedMartialArtsLeague,1
dbo:LaunchPad,1
dbo:GreenAlga,1
dbo:Nerve,1
dbo:HandballLeague,1
dbo:PoloLeague,1
dbo:SoccerClubSeason,1
dbo:Cave,1
dbo:ArtistDiscography,1
dbo:Artery,1
dbo:VolleyballCoach,1
dbo:SpeedwayLeague,1
dbo:Bodybuilder,1
dbo:SpeedwayTeam,1
dbo:Bone,1
dbo:SoftballLeague,1
